glong,glat,plx_mean,plx_med,plx_sd,plx_hdi_minus1sigma,plx_hdi_plus1sigma,Upec_mean,Upec_med,Upec_sd,Upec_hdi_minus1sigma,Upec_hdi_plus1sigma,Vpec_mean,Vpec_med,Vpec_sd,Vpec_hdi_minus1sigma,Vpec_hdi_plus1sigma
15.034454144972516,-0.6771653895354851,0.4984786,0.49849564,0.02580438,0.47310045,0.52452266,0.8650656,0.8578025,5.702575,-4.9084873,6.4966063,3.3784478,3.359827,6.479285,-3.0763583,9.850443
16.585151904401133,-0.05056506486036847,0.27040225,0.2701572,0.022392966,0.24675146,0.29157558,15.775934,15.982958,7.9778996,8.821562,24.559998,-6.561187,-6.555039,7.104469,-13.501179,0.6473836
17.55098166476619,-0.12621787857867428,0.4903989,0.49035072,0.038156126,0.453285,0.5298288,14.321904,14.32634,9.052474,5.5699353,23.626774,2.4057329,2.432533,9.096439,-6.5975795,11.534112
17.638322059105924,0.15648197284194454,0.6682323,0.66818213,0.019032603,0.64954627,0.6875308,6.35846,6.377305,8.968959,-2.6256695,15.352158,1.4110332,1.4088728,8.993518,-7.4845443,10.491725
18.34134321996305,1.7681359375571692,0.49871308,0.49872923,0.01903662,0.48027286,0.5184602,5.1835947,5.1663933,5.934028,-0.7819462,11.058772,-1.6756806,-1.6813291,7.115153,-8.954066,5.262655
18.873712001325543,0.05329127411267487,0.31421098,0.31231123,0.038117133,0.27328205,0.34953576,-3.7648568,-3.3176208,8.617615,-11.125631,5.675792,-0.83930725,-0.7875429,6.6927896,-7.4619427,5.8919144
23.009732531257157,-0.4106074690445545,0.20208824,0.20180297,0.013393586,0.18787904,0.21475136,10.086265,10.383984,9.615481,1.1448301,20.187662,-13.732983,-13.704763,7.4901853,-21.53281,-6.5436716
23.206426993566257,-0.37766312675142266,0.22750878,0.22556876,0.026309252,0.19753996,0.24950406,10.221593,10.64377,12.139671,-1.2166619,22.88995,-2.819913,-2.823855,9.302088,-12.05414,6.467221
23.38904771260075,0.18538132690356354,0.20839642,0.20728499,0.018765962,0.18754244,0.22488545,6.7663474,7.315141,10.591997,-2.7544236,18.178259,-13.628135,-13.572982,6.7567554,-20.405535,-6.9372807
23.656704649214,-0.1273173102429206,0.27374402,0.2716163,0.034507416,0.23323298,0.30241123,19.794065,20.63334,10.5296335,10.886831,31.256372,5.628001,5.69145,6.083691,-0.25452256,11.880325
24.634014733998125,-0.3236682101479086,0.28809658,0.28640595,0.031526446,0.25346473,0.31647268,-8.9702,-8.607198,9.162747,-16.94924,1.1219611,-6.687754,-6.610568,6.931735,-13.584259,0.30102643
28.30461376453355,-0.3875637898243574,0.21630818,0.21554701,0.017965434,0.19670762,0.2325739,7.798229,8.223932,10.113515,-1.6187136,18.488958,-0.572688,-0.555769,6.920915,-7.443469,6.3650093
28.39696032379618,0.0803015348553419,0.2321079,0.23198459,0.013526893,0.21840885,0.24544337,-1.6025285,-1.3917533,8.279433,-9.647237,6.782082,0.28386372,0.31547803,6.7790313,-6.50025,7.037405
28.832263978205695,-0.2527226235153818,0.19804004,0.19578928,0.022883909,0.17158087,0.21557084,7.710288,8.256631,12.575673,-4.152614,21.025806,-7.687249,-7.6278057,7.112517,-14.6861925,-0.5199353
28.86189583762602,0.06568572107888841,0.17801271,0.17731145,0.018510858,0.15801586,0.19502947,25.8649,26.27681,12.364253,14.237928,38.912285,-9.901438,-9.903591,9.279304,-18.9881,-0.4386194
29.95535735860859,-0.01609362155956864,0.1889751,0.18825042,0.017303163,0.17067423,0.20519558,23.889027,24.456024,10.631814,14.690237,35.678574,-5.820453,-5.825595,6.75582,-12.566697,0.9752313
30.702612637379612,-0.06826033982916073,0.16438305,0.1637756,0.013361024,0.15016419,0.17644787,-2.1291237,-1.7780113,11.200964,-13.003231,9.454937,-11.872731,-11.85112,6.2750077,-18.333075,-5.7753577
30.74870960107436,-0.048962552178467726,0.24519405,0.23966187,0.04429427,0.19311614,0.27807766,21.867857,22.876492,13.3941145,10.824728,37.524086,-0.5106732,-0.4312259,7.5583878,-7.9416084,7.2519956
30.972373449134494,-0.14170442807291,0.28311446,0.282996,0.021720348,0.2616278,0.30521402,19.18077,19.370132,7.5945807,11.77502,26.863352,1.1870992,1.2297308,6.3762484,-5.175075,7.573401
31.242956031992385,-0.11083787919714606,0.07684735,0.07650207,0.0047769016,0.07148129,0.08066684,-8.326148,-8.318407,9.36122,-18.057074,0.6756366,-5.950315,-5.990832,14.604726,-20.735352,8.443849
31.280793161088436,0.06163046197692942,0.18232699,0.18182373,0.012904069,0.16782416,0.19345848,4.0578527,4.3907003,11.125354,-6.4253216,15.711238,10.791934,10.805639,6.8882318,4.0815287,17.76889
31.411680178447348,0.3069107392290935,0.24668695,0.24628331,0.030099642,0.21490978,0.27533096,25.412374,25.672739,11.731976,14.316077,37.587227,-3.8003147,-3.8227026,10.705784,-14.747941,6.65638
31.580940884016176,0.07833223058323738,0.18970022,0.18842217,0.01957303,0.16818655,0.20669371,2.3822641,2.7945788,12.580103,-9.720004,15.424407,1.6808589,1.6644092,7.649574,-6.0384054,9.232042
32.044751441002475,0.05901306308858758,0.1935502,0.193253,0.013147335,0.17985483,0.20618941,9.723864,10.021502,9.451211,0.8039226,19.58307,2.419347,2.4506123,6.8002205,-4.502539,9.124446
33.09233817699092,-0.07292822935478745,0.14749084,0.14723855,0.010940327,0.13620318,0.15785325,-7.766642,-7.467803,11.1854925,-18.201223,4.0975122,-1.817401,-1.8230748,6.7923265,-8.720521,4.9331346
33.641353299674236,-0.22774335942656015,0.111928426,0.11017307,0.0127440225,0.096678056,0.120287366,6.309127,6.162404,9.501041,-3.1083553,16.046274,-15.710301,-16.62248,12.598348,-29.89849,-4.774687
34.411347255476784,0.23484880798495683,0.33996457,0.33995694,0.010930663,0.32873163,0.35065514,6.705895,6.7203674,9.055338,-2.3540525,15.762303,1.562514,1.5943468,9.002326,-7.555984,10.409813
34.79129841043613,-1.386534296931711,0.38175434,0.3816946,0.019498667,0.36263174,0.40152782,-3.6285908,-3.6194832,7.772768,-11.454827,4.1008444,2.4555306,2.4831953,7.4697285,-5.3642673,9.53055
35.02473625223476,0.3496880117017388,0.4213825,0.4212401,0.03934377,0.38245505,0.46135497,9.668331,9.775902,8.434885,1.7291002,18.451868,2.8447838,2.8956232,8.050307,-4.87278,11.171927
35.19702269335042,-0.7432143222481172,0.4630058,0.46270794,0.04282882,0.4199264,0.50569725,-2.2704618,-2.2220926,7.362243,-9.404342,5.3297734,-5.870864,-5.8413725,7.3117747,-13.428399,1.1949855
35.20026749469471,-1.7365020254432326,0.4118642,0.4118625,0.013952844,0.39800152,0.42591345,2.9500482,2.9483585,6.5626163,-3.6189034,9.57372,-1.8449557,-1.8304999,6.5999026,-8.254679,4.9448867
35.79270976116863,-0.17467486124400444,0.11070838,0.11003673,0.009476735,0.1003006,0.11901578,2.1919925,2.236206,8.500932,-5.9085975,11.098413,-9.976235,-10.620199,10.778099,-21.930439,-0.7208838
37.42959860980132,1.5171744279328931,0.53065866,0.53065014,0.02090216,0.50912154,0.55094147,6.739886,6.750203,5.677932,1.121855,12.49534,3.5084743,3.5230193,5.6948776,-2.301485,9.086994
38.11898310051321,-0.2288543184845349,0.21923509,0.21794015,0.031842317,0.18476938,0.24879758,15.988586,16.657307,10.333505,7.160429,27.386671,-7.1407714,-7.1188393,7.062188,-14.183308,-0.06994762
40.2818472660697,-0.2194082499129248,0.29260558,0.2926075,0.01848309,0.27383456,0.3107888,4.8895693,4.9659595,7.411752,-2.435074,12.373906,11.3046875,11.30019,6.705164,4.6935306,18.08044
40.42504894497153,0.7001418836757184,0.084384665,0.083999015,0.005071143,0.07857117,0.088377066,0.032522418,0.02016743,6.902767,-6.5957775,7.169982,-2.8420396,-2.9620798,14.032508,-17.459232,10.499192
41.15598508592042,-0.20088804170370891,0.1268399,0.12587553,0.014136102,0.110450305,0.13867281,-3.5484931,-3.406024,8.856719,-12.194953,5.5451775,-10.23214,-11.083075,8.947227,-19.855364,-2.899684
41.226062958855465,-0.1972047771246814,0.12118192,0.11966717,0.014456479,0.104588926,0.13259272,-4.147152,-4.0673275,9.015989,-13.070177,4.9700766,-7.09959,-7.9754767,10.490195,-19.204445,1.0892074
42.034420659047015,0.19012662417462636,0.08535107,0.084963694,0.0052805673,0.07926386,0.0895715,-5.667219,-5.65147,6.965762,-12.538732,1.387906,-3.1114783,-3.2485158,13.493598,-17.086643,9.99519
43.03800702376548,-0.45294778054078455,0.12932634,0.12807083,0.013319038,0.11372029,0.13976842,17.02612,17.13071,8.427659,8.833719,25.66014,-3.0123622,-3.6622682,10.613626,-14.911177,6.0122867
43.16640518860843,0.011163502230476451,0.08917421,0.08899378,0.004950838,0.0840318,0.09384825,-1.4927715,-1.4669943,8.332317,-9.382992,7.35427,-6.467979,-6.731916,12.181149,-19.46965,4.964716
43.79539199884004,-0.1272371060397677,0.16342337,0.16339594,0.010267953,0.15301955,0.17362477,14.723,14.757545,9.314524,5.8441277,24.490639,-20.488256,-20.475239,9.1062355,-29.544666,-11.295806
43.890437146644295,-0.7844063956407018,0.13316864,0.13284324,0.012291465,0.120172046,0.14495791,-5.0549183,-4.9765005,8.207438,-12.947752,3.4288254,-13.5076475,-13.982414,7.5974846,-21.717093,-7.1365733
45.07115896295704,0.13234463759873824,0.12928072,0.12921804,0.006550281,0.1225587,0.13567601,7.476057,7.4827423,8.878844,-1.4538981,16.28214,1.2921517,1.1606495,7.7776585,-6.741865,8.67914
45.45486514647116,0.05996026424078869,0.1276405,0.12678742,0.013243037,0.11261229,0.13896716,-3.2032194,-3.1398551,11.734985,-14.4326315,9.034591,-2.8354826,-3.3412352,10.266602,-13.739351,6.3865786
45.49274981854154,0.12557457025306218,0.14995007,0.14910015,0.019733531,0.1287735,0.16847076,-4.745718,-4.50426,8.8589945,-13.107105,4.6270423,-8.122018,-8.54261,7.0317335,-15.567911,-2.2548542
45.804085794663436,-0.3558613706076123,0.14922279,0.14828815,0.017672086,0.12984069,0.16523214,1.0752447,1.2841667,9.511246,-8.010193,11.022816,-1.3763192,-1.6590993,7.731209,-9.501084,5.611738
46.256067740991504,-1.4765490403291515,0.1163519,0.11536284,0.011646327,0.10296354,0.1258586,6.2185907,6.2597647,9.447355,-2.5013223,16.411491,-9.498402,-9.939009,12.230688,-22.300266,1.949154
48.60614182320978,0.023040405947408762,0.095529154,0.09544145,0.004112097,0.09141192,0.09962817,-3.0224607,-2.999028,7.183245,-10.422118,3.941701,6.866039,6.695515,9.720929,-3.4483004,15.976874
48.990016161571475,-0.29892431112746737,0.1799351,0.17979771,0.016001558,0.16360317,0.19580406,1.3852413,1.4861109,11.393973,-10.051363,12.698854,2.3389077,2.3404398,9.052772,-6.5492063,11.587572
49.042950897434245,-1.0787598378571701,0.1548535,0.15342201,0.020203335,0.13137121,0.1719467,18.793505,18.910278,9.611494,9.494233,28.60631,-11.898957,-12.693242,9.613839,-22.260015,-3.9021738
49.190121363031665,-0.3367997694748615,0.19640908,0.19642621,0.00793297,0.18829025,0.20416982,6.9736333,7.008324,9.005169,-1.8425553,16.075495,4.173408,4.1898184,6.4763618,-2.281426,10.659859
49.26516263412598,0.31116841234938347,0.10515273,0.10423875,0.009148436,0.094300844,0.11168434,12.1521015,12.195662,7.8262196,4.290466,19.895664,-11.712378,-12.035107,13.722334,-26.175365,1.4001527
49.349203730217596,0.41254508958508773,0.23360656,0.23319991,0.02840785,0.20377558,0.26080865,8.301623,8.614243,8.519968,0.5080703,17.413025,6.860488,6.891969,6.5592055,0.286621,13.366173
49.48845380190986,-0.3880043314490998,0.18548408,0.18546677,0.009833136,0.17566966,0.19530426,-6.515695,-6.479903,7.044055,-13.01599,1.0331215,-2.4950826,-2.5046964,6.038264,-8.468162,3.5728612
49.599361013324554,-0.24953430172254354,0.21811901,0.2180835,0.008943047,0.20939709,0.22727522,12.942578,12.977587,6.8315687,6.230811,19.887161,1.5852093,1.5711757,6.5056443,-4.9884925,8.025623
52.10051753542083,1.0427643128815773,0.16485685,0.16483454,0.012931985,0.15236522,0.17836307,4.9334517,4.943425,14.161284,-8.679612,19.635715,-4.828625,-4.852468,14.085014,-18.581884,9.576832
54.10986843471903,-0.08126041992041073,0.22554016,0.22550015,0.030781401,0.19358768,0.25555855,7.670431,7.7568445,10.256667,-1.8627478,18.579678,-7.55082,-7.610334,6.6801476,-14.378243,-1.1071889
55.370723747861334,0.18554369847933413,0.2584634,0.25817078,0.049113523,0.20835312,0.30785483,12.277147,12.415792,11.844834,0.6403226,24.058218,-7.875771,-7.935728,7.890176,-15.761794,-0.13324279
56.09606157555446,2.093703472898855,0.24858813,0.24889904,0.042482957,0.2068657,0.29264462,15.883325,15.868561,5.1032414,10.984966,21.181831,-15.85563,-15.984917,6.944006,-23.104034,-9.539368
58.77478284080131,0.6441243423890506,0.2929645,0.29273126,0.039512083,0.25293666,0.33213928,12.66508,12.736855,7.1387463,5.660133,19.83757,-5.083099,-5.1054726,5.690772,-10.83169,0.5003085
59.47786832029194,-0.18574369789614978,0.53441334,0.53443366,0.023964258,0.5107207,0.5586178,10.982423,10.981509,9.0224905,2.1785448,20.193796,-3.412097,-3.4228325,6.072831,-9.555423,2.5461886
59.78279539322432,0.06462548893528905,0.46289188,0.46294266,0.019909145,0.4429815,0.4826303,0.3278405,0.33414882,6.6061273,-6.2746043,6.8878856,-4.722615,-4.739363,6.521458,-11.352412,1.7166153
59.83284558256524,0.6720377042899001,0.2410109,0.24100123,0.013964838,0.2271297,0.25501275,13.969819,13.98497,6.5292053,7.584351,20.603954,-2.4125304,-2.416638,5.6507635,-7.9096527,3.4028676
60.575485462035,-0.1866045916230899,0.12950934,0.1289297,0.010512911,0.11799384,0.13881192,14.512608,14.507832,6.823146,7.5222645,21.210678,4.300996,3.8900461,10.723376,-6.984391,14.4301605
69.54015475880628,-0.9755753368750333,0.40510288,0.4050903,0.013066552,0.39223167,0.4185109,6.0213714,6.0128217,6.3118157,-0.069426455,12.560887,-6.575232,-6.5653625,6.477527,-12.868396,0.08953571
70.18112987671326,1.7402339351279177,0.15267764,0.15215713,0.0139099825,0.13816881,0.16598892,9.653473,9.63683,6.839044,2.9846933,16.62785,-9.912953,-10.356815,9.606013,-20.396662,-1.4448324
71.31267658176284,0.8288975030782504,0.21721752,0.21653837,0.025437705,0.19063255,0.2419769,5.451395,5.459424,10.259086,-4.963812,15.487076,1.284084,1.053767,7.9449987,-6.932823,8.780357
71.52200000846027,-0.3852512949367999,0.27661705,0.2765578,0.025620699,0.250151,0.3014901,-3.0957286,-3.0691056,6.6038265,-9.569079,3.5985117,-3.6729429,-3.6956468,5.777329,-9.218621,2.3641548
74.03418534001557,-1.7140695758068842,0.6283488,0.6283102,0.017075384,0.6111289,0.6452065,7.0465393,7.0535245,9.322294,-1.9178624,16.643187,-7.2930074,-7.2806797,6.611698,-14.12196,-0.91497976
75.29661759400169,1.3238331091670008,0.11200372,0.11178434,0.007691131,0.10397334,0.11928099,8.002671,8.020332,6.9908667,1.1787755,15.126163,-3.32794,-3.6265981,10.6581135,-14.713497,6.459674
75.76094109745675,0.3398843021248017,0.28187,0.2818302,0.022115424,0.2597084,0.30387303,1.6126652,1.5945312,9.027721,-7.4994597,10.547501,-12.234597,-12.236235,8.676527,-20.92675,-3.5876365
75.78202617063077,0.34272075498874843,0.25916,0.25893414,0.029064959,0.22983988,0.2882095,-1.2426995,-1.2184052,8.906683,-10.252838,7.5070605,-4.02419,-4.1181474,7.230926,-11.116751,3.262954
76.38087891296179,-0.6177468789150884,0.7678243,0.7677835,0.052906334,0.71491426,0.82048917,3.4761438,3.442112,11.821193,-8.758142,14.7340765,-10.792879,-10.82321,6.6327567,-17.618917,-4.3692336
78.88664662758207,0.7089349067223036,0.30189243,0.30193788,0.023881922,0.27810076,0.32593343,-5.4540706,-5.44968,9.179542,-15.019802,3.248376,-9.069108,-9.100395,7.7368965,-16.923735,-1.4537263
79.73570334687959,0.9904481658389029,0.7276358,0.72774005,0.062007587,0.6655417,0.78893524,2.5864804,2.588523,7.114636,-4.6863713,9.450389,-9.676262,-9.689352,6.5238633,-16.19751,-3.154389
79.8768617101513,1.1769480518565139,0.61857957,0.6185596,0.02702157,0.591991,0.6458367,7.051236,7.0605545,8.982155,-1.8441414,15.939401,-9.64372,-9.664796,9.071492,-18.622063,-0.52665925
80.798358751203,-1.920998401854138,0.61959124,0.61931086,0.046535626,0.57286525,0.6655349,-1.95782,-1.9282311,6.1309586,-8.031791,4.226433,-9.293093,-9.277269,5.650192,-14.94666,-3.6239355
