gname,alias,glong,glat,plx,e_plx,mux,e_mux,muy,e_muy,vlsr,e_vlsr,Upec,Vpec,Wpec,is_tooclose,is_outlier
G108.47-02.81,G108.48-2.80,108.47140082934065,-2.81828263849846,0.309,0.01,-3.13,0.49,-2.79,0.46,-54.0,5.0,20.16441029959761,-12.604860756872455,-8.238588239005669,0,0
G109.87+02.11,G109.87+2.11,109.87114054361915,2.1142331144652298,1.228,0.024,-1.03,1.3,-2.62,1.33,-7.0,5.0,2.822039818937666,-2.41063190508973,-0.026343348381985265,0,0
G111.25-00.76,G111.25-0.77,111.2556473204034,-0.7697600325004578,0.28,0.015,-2.69,0.28,-1.75,0.33,-40.0,3.0,1.1902531476979508,-1.2667506507601445,-2.5105280810339554,0,0
G115.05-00.04,PZCas,115.05817049311926,-0.04780508349368345,0.356,0.04,-3.7,0.78,-2.0,0.81,-36.0,5.0,16.444712726307436,6.206789635820144,-4.6446548700292585,0,0
G121.29+00.65,L1287,121.29772769898064,0.6586746380665055,1.077,0.039,-0.86,1.19,-2.29,1.23,-23.0,5.0,9.609701837936562,-11.31833057517639,-2.116159064767068,0,0
G122.01-07.08,IRAS00420+5530,122.01613080261146,-7.080364464508809,0.46,0.02,-3.7,0.5,-1.25,0.5,-50.0,5.0,30.000994968483006,-6.185314055280855,3.2197432970132978,0,0
G123.06-06.30,NGC281,123.06687111330832,-6.307458387127732,0.355,0.03,-2.79,0.62,-2.14,0.7,-30.0,5.0,6.272353378923079,8.370811993788664,-16.11571632936608,0,0
G123.06-06.30,NGC281W,123.06571286094899,-6.309503596002619,0.421,0.022,-2.69,0.31,-1.77,0.29,-29.0,3.0,7.394039093842631,4.255574020239322,-7.887761824142396,0,0
G133.94+01.06,W3OH,133.94727176505737,1.0643603638741193,0.512,0.01,-1.2,0.32,-0.15,0.32,-47.0,3.0,20.548610808016775,-11.890949736765094,1.7969860236492554,0,1
G134.62-02.19,SPer,134.62067979354035,-2.1949947866937314,0.413,0.017,-0.49,0.5,-1.19,0.48,-39.0,5.0,3.1085481383017135,-13.088257013325403,-5.025608693521471,0,0
G135.27+02.79,G135.27+2.79,135.27736804841592,2.7977111744013468,0.167,0.011,-1.22,0.3,0.46,0.36,-72.0,3.0,14.905515466529414,8.04526527169594,1.7089247232608686,0,0
G160.14+03.15,G160.14+3.16,160.14595613846592,3.156587279744636,0.244,0.006,0.87,0.35,-1.32,0.29,-18.0,5.0,-11.614789012778836,-16.615322002706705,4.9892560925029406,0,0
G168.06+00.82,G168.06+0.82,168.06255332305665,0.821792774472923,0.187,0.022,0.44,0.29,-0.78,0.35,-25.0,5.0,5.608460027874247,-5.701702727487287,5.5335013419965655,0,0
G170.65-00.24,IRAS05168+3634,170.65992509395934,-0.24715863540958827,0.532,0.075,0.23,1.2,-3.14,0.6,-19.0,5.0,11.277748557295254,-11.167546138546186,-5.661481306082759,0,0
G173.48+02.44,G173.48+2.44,173.48170012167827,2.4461502394068226,0.594,0.014,0.62,0.63,-2.34,0.63,-13.0,5.0,8.471916179900674,-5.662712438872035,2.137900655487682,0,0
G174.20-00.07,AFGL5142,174.20078576569145,-0.0705774365495289,0.467,0.02,0.32,0.56,-0.22,0.68,-2.0,10.0,-1.7273210520295355,10.865636317916596,9.554966889593585,0,0
G176.51+00.20,G176.52+0.20,176.51553308044686,0.20080473039159558,1.038,0.021,1.84,1.0,-5.86,1.0,-17.0,5.0,15.011082193485548,-15.737750552331079,0.8134262725190791,0,0
G183.72-03.66,G183.72-3.66,183.72001748339744,-3.664334779789013,0.629,0.012,0.38,1.3,-1.32,1.3,3.0,5.0,-0.9345022775632381,1.9485525110648325,4.333766953098454,0,0
G188.94+00.88,S252,188.94613651904677,0.8859910867416382,0.476,0.006,-0.32,0.49,-1.94,0.49,8.0,5.0,-0.2621678256845684,-4.531335358939145,-3.74030426366774,0,0
G192.16-03.81,G192.16-3.84,192.16092268505201,-3.8166167234548865,0.66,0.04,0.7,0.78,-1.8,0.86,5.0,5.0,2.655867893378516,-4.5947023653059205,4.801804446409678,0,0
G192.60-00.04,S255,192.60026439965375,-0.0480346259467824,0.601,0.039,-0.18,0.6,-0.43,0.6,7.0,5.0,-0.1260908204908991,6.365390811673308,5.224014026747803,0,0
G196.45-01.67,S269,196.45392144831814,-1.6772835839025606,0.242,0.011,0.2,0.27,-0.73,0.27,19.0,5.0,4.072410602012157,-5.693602870556759,3.7530497557458995,0,0
G209.00-19.38,Orion,209.00710381792572,-19.385407367876443,2.421,0.019,3.13,3.06,-1.1,3.71,3.0,5.0,-0.8262394646821923,-3.7969004808030604,5.336383956336771,0,0
G211.59+01.05,G211.60+1.06,211.59287992686757,1.0558432850287698,0.239,0.01,-0.79,0.62,0.05,0.66,45.0,5.0,-5.090365744024245,-4.3216318067359225,-4.197754809457885,0,0
G213.70-12.59,G213.70-12.6,213.7048951069795,-12.596933374924088,1.148,0.03,-1.3,1.2,2.2,1.2,11.0,3.0,-6.347592922020085,4.854654647555293,0.9583999236861835,0,0
G217.79+01.05,V838Mon,217.79735918637314,1.0521676307724253,0.163,0.016,-0.54,0.23,0.08,0.17,49.0,5.0,12.705418319140987,-10.16212314474862,-3.3189427825034485,0,0
G229.57+00.15,G229.57+0.15,229.5710310736511,0.1511496337363216,0.218,0.012,-1.33,0.7,0.77,0.7,47.0,10.0,13.228292013875247,-9.192007597628503,-9.196092776997897,0,0
G232.62+00.99,G232.62+1.00,232.62047648552957,0.9956623329523018,0.596,0.035,-2.17,0.38,2.09,0.6,21.0,3.0,1.539175931800917,-3.4261230545714056,1.7289491237166432,0,0
G236.81+01.98,G236.81+1.98,236.8158559066961,1.9834377864193748,0.326,0.026,-2.49,0.43,2.67,0.41,43.0,5.0,-8.075338062823475,-0.6349987413509268,-1.6228298046847627,0,0
G239.35-05.06,VYCMa,239.3525543239775,-5.065400957531599,0.855,0.057,-2.8,0.58,2.6,0.58,20.0,3.0,-0.6894159693726644,-10.205314537326075,-2.2865166269112276,0,0
G240.31+00.07,G240.31+0.07,240.31556192003987,0.07129338852107177,0.187,0.014,-1.55,0.5,2.57,0.3,68.0,5.0,-7.831702994093283,-0.05470277111868427,6.833493297355912,0,0
G305.20+00.01,G305.20+0.20,305.20013220042534,0.11794341636129109,0.25,0.05,-6.9,0.33,-0.52,0.33,-43.0,5.0,-5.4398222390935675,-4.136852293237865,8.2715978302759,0,0
G339.88-01.25,G339.88-1.25,339.8839744426684,-1.2588444151556561,0.48,0.08,-1.6,0.52,-1.9,0.52,-34.0,3.0,-7.731358503492083,2.701781507290548,9.210650767581406,0,0
G348.70-01.04,G348.70-1.04,348.7036894831859,-1.043576662219392,0.296,0.026,-0.73,0.31,-2.83,0.59,-9.0,5.0,13.511314450836373,-24.82742886429719,-7.703815111025692,0,0
G351.44+00.65,G351.45+0.66,351.4449426111547,0.6596624023223397,0.752,0.069,0.31,0.58,-2.17,0.9,-8.0,3.0,0.014684149961283696,1.5500588823915677,-1.3468272114986366,0,0
G359.61-00.24,G359.61-0.24,359.6146910246702,-0.24315899246129866,0.375,0.021,1.0,0.4,-1.5,0.5,21.0,5.0,21.86923726124526,1.6022587535088348,-12.517990270077675,0,0
