gname,alias,glong,glat,plx,e_plx,mux,e_mux,muy,e_muy,vlsr,e_vlsr,Upec,Vpec,is_tooclose,is_outlier
G019.36-00.03,,19.364794581204375,-0.030218659385238107,0.352,0.069,-1.12,0.38,-2.5,0.46,27.0,3.0,-2.938991086912868,-16.93772422247332,0,0
G019.49+00.11,,19.495878629696847,0.11540813737933626,0.326,0.1,-3.6,0.42,-8.2,1.03,121.0,5.0,120.56004139851808,-48.7867866698557,0,1
G022.35+00.06,,22.35649810059656,0.06636008021647362,0.231,0.108,-1.7,0.28,-3.9,0.31,80.0,5.0,25.89094442438206,-13.124788663508838,0,1
G023.25-00.24,,23.256667908477972,-0.2405330629180043,0.169,0.051,-1.72,0.23,-4.09,0.28,63.0,3.0,-20.267995579740525,-34.298828246774036,1,0
G023.43-00.18,,23.439874775875797,-0.18234046517464125,0.17,0.032,-1.93,0.15,-4.11,0.13,97.0,3.0,-1.695235538732089,-5.019329990907323,1,0
G023.70-00.19,,23.706481409035387,-0.19808948789577602,0.161,0.024,-3.17,0.18,-6.38,0.21,73.0,5.0,48.5094439404081,-55.89928749808743,1,0
G024.78+00.08,,24.789784460044235,0.08328615497898524,0.15,0.016,-2.62,0.16,-5.08,0.2,111.0,3.0,6.3631002478865595,-3.2481773956876623,1,0
G024.85+00.08,,24.85019363114266,0.08744403115578879,0.176,0.016,-2.42,0.19,-5.23,0.26,111.0,5.0,36.18635991808393,-5.616905675695222,1,0
G025.70+00.04,,25.70947641263878,0.04382484083429205,0.098,0.029,-2.89,0.11,-6.2,0.36,93.0,5.0,-33.30917305009116,-8.314233442396926,0,1
G027.36-00.16,,27.3650187555239,-0.16583551744408356,0.125,0.042,-1.81,0.11,-4.11,0.27,92.0,3.0,-82.31256693510633,-34.36170567093876,1,0
G029.86-00.04,W43S,29.86235404758307,-0.04430388038070352,0.221,0.03,-2.33,0.26,-5.47,0.31,101.0,3.0,46.06100546851311,-4.936051985752499,0,1
G029.98+00.10,,29.98178690887367,0.10870528029669775,0.156,0.01,-0.94,0.32,-3.49,0.32,109.0,10.0,-63.70627580914048,13.449068014291925,0,1
G030.19-00.16,,30.198084886374037,-0.16914209901434926,0.212,0.01,-2.08,0.22,-3.8,0.25,108.0,3.0,14.59241536542145,19.273158790991346,0,1
G030.22-00.18,,30.224560641098076,-0.18002336531163532,0.284,0.032,-0.87,0.31,-4.7,0.34,113.0,3.0,49.91381024374293,24.66273819452792,0,1
G030.41-00.23,,30.419304146675408,-0.23203670427991155,0.253,0.021,-1.98,0.28,-4.07,0.29,103.0,3.0,33.54115381472005,16.094871502882654,0,1
G030.78+00.20,,30.788120700992007,0.2035512648483566,0.14,0.032,-1.85,0.16,-3.91,0.19,82.0,5.0,-66.39893010761118,-26.672554944286105,0,1
G030.81-00.05,,30.817836048306496,-0.056811463681020746,0.321,0.037,-2.34,0.35,-5.66,0.35,105.0,5.0,67.24462378112148,6.7545114754389886,0,1
G032.74-00.07,,32.74399860101673,-0.07561954326359703,0.126,0.016,-3.15,0.27,-6.1,0.29,37.0,10.0,16.4589002245701,-58.62095227678742,0,1
G032.79+00.19,,32.79690274874211,0.19085880269231165,0.103,0.031,-2.94,0.24,-6.07,0.25,16.0,10.0,14.522118162146253,-57.3437621970871,0,1
G033.39+00.00,,33.39324682286976,0.009930293754734967,0.113,0.029,-2.48,0.13,-5.36,0.13,102.0,5.0,-51.52140304823158,-4.150214846722349,0,1
G036.11+00.55,,36.11515249562877,0.552417516017583,0.246,0.056,-1.41,0.26,-3.76,0.27,75.0,5.0,-4.52511783870778,6.144473934814556,0,0
G037.47-00.10,,37.478995245362846,-0.10479699963239832,0.088,0.03,-2.63,0.07,-6.19,0.15,58.0,3.0,-17.048586962223506,23.640153449280405,0,1
G038.03-00.30,,38.03751439318483,-0.30030798376774476,0.095,0.022,-3.01,0.06,-6.2,0.11,60.0,3.0,-7.20769764901166,17.18623156045129,0,1
G040.62-00.13,,40.62252629485976,-0.1383352018401078,0.08,0.021,-2.69,0.09,-5.6,0.25,31.0,3.0,-18.344726502732517,22.994213432522002,0,1
G049.41+00.32,,49.41561779563076,0.32574685738368936,0.132,0.031,-3.15,0.17,-4.49,0.66,-12.0,5.0,-16.159484286806133,-69.63728525359994,0,1
G049.48-00.36,W51IRS2,49.48941604341323,-0.368967603608512,0.195,0.071,-2.49,0.14,-5.51,0.16,56.0,3.0,0.733708222446386,-5.411539155698819,0,0
G073.65+00.19,,73.65270776749108,0.19422771072774792,0.075,0.02,-2.31,0.17,-4.2,0.23,-76.0,10.0,20.645761399420994,53.51214995165918,0,1
G074.56+00.84,IRAS20143+3634,74.5695888585289,0.8457682350457756,0.367,0.083,-3.0,0.81,-4.37,0.98,-1.0,5.0,-2.8311196084481867,-14.765774144932521,0,0
G078.12+03.63,IRAS20126+4104,78.12233662267857,3.6327523931431576,0.645,0.03,-2.06,0.84,0.98,0.84,-6.0,5.0,-34.65178443303179,-17.29873685677262,0,1
G098.03+01.44,,98.03586484832445,1.4459922020451168,0.366,0.161,-3.28,1.0,-0.63,1.0,-61.0,5.0,1.7918121358679497,-48.859027146574704,0,1
G108.59+00.49,,108.5946502956341,0.49176673738739946,0.405,0.033,-5.56,0.4,-3.4,0.4,-52.0,5.0,45.76140358180806,-4.806641323794366,0,1
G110.19+02.47,IRAS22555+6213,110.19609843675002,2.4761750374699742,0.314,0.07,-2.14,0.68,-0.32,0.77,-63.0,5.0,4.632192847573256,-35.331690725692596,0,1
G111.23-01.23,,111.23496496800085,-1.2381963239292646,0.3,0.081,-4.37,0.6,-2.38,0.6,-53.0,10.0,32.68975895257665,4.318747662483531,0,0
G111.54+00.77,NGC7538,111.5421294899417,0.7769384028762917,0.378,0.017,-2.45,0.4,-2.44,0.4,-57.0,5.0,17.893696763676736,-23.84873124265357,0,1
G136.84+01.16,,136.84514450512646,1.1674146306121307,0.47,0.115,0.42,0.5,-0.43,0.5,-42.0,5.0,7.537932818076715,-18.577264236268604,0,0
G182.67-03.26,,182.67801276550367,-3.265397302996912,0.157,0.042,0.44,0.35,-0.45,0.36,-7.0,10.0,11.32956242180692,0.7562020547629515,0,0
G188.79+01.03,IRAS06061-2151,188.79369548865986,1.0306622558850218,0.496,0.103,-0.1,0.5,-3.91,0.5,-5.0,5.0,14.209891421484606,-19.801527084058222,0,0
G000.31-00.20,G000.31-0.20,0.3152592880390072,-0.20083724333908243,0.342,0.042,0.21,0.39,-1.76,0.64,18.0,3.0,17.41991785414231,-6.711013558319593,0,0
G005.88-00.39,G005.88-0.39,5.884193454612775,-0.3923617226509042,0.334,0.02,0.18,0.34,-2.26,0.34,9.0,5.0,-2.7477650328446743,-13.718352601426488,0,0
G006.79-00.25,G006.79-0.25,6.795315908924413,-0.2572553029452956,0.288,0.021,-0.3,0.3,-1.3,0.31,22.0,5.0,3.029480328249543,-2.6784057157640007,0,0
G007.47+00.05,G007.47+0.05,7.4706955199311,0.05836478557150925,0.049,0.007,-2.43,0.1,-4.43,0.16,-14.0,10.0,4.831258849622713,14.75824513087207,0,0
G008.34-01.00,VXSgr,8.344133233567698,-1.001949271180782,0.64,0.04,0.36,0.76,-2.92,0.78,5.0,5.0,-2.2650896851221733,-9.448145687115328,0,0
G011.10-00.11,G011.10-0.10,11.109056798808037,-0.1141616285891001,0.364,0.027,-0.2,0.38,-2.0,0.41,29.0,5.0,8.755389962124712,-7.2782637454834,0,0
G011.49-01.48,G011.50-1.49,11.497391078678321,-1.4853403015859088,0.8,0.033,1.42,0.52,-0.6,0.65,11.0,3.0,-0.7585730088391204,9.503403118072754,0,0
G011.91-00.61,G011.91-0.61,11.917706166890026,-0.6131241747829906,0.297,0.05,0.66,0.69,-1.36,0.75,37.0,5.0,2.451567258052764,8.429527890463646,0,0
G012.68-00.18,W33B,12.68060538759639,-0.1822956124191795,0.416,0.028,-1.0,0.95,-2.85,0.95,58.0,10.0,40.95472760676927,-8.540648027651002,0,1
G012.81-00.19,W33M,12.813647319205213,-0.197000256792044,0.343,0.037,-0.4,0.7,-0.25,0.7,34.0,5.0,1.8987777338994223,13.016760300223154,0,0
G012.88+00.48,W33A,12.888828423096749,0.4891010634666449,0.404,0.044,0.15,0.43,-2.3,0.52,35.0,7.0,14.475757196897405,-4.606771072550401,0,0
G012.90-00.24,W33A,12.900918412281614,-0.2414988120833986,0.408,0.025,0.19,0.4,-2.52,0.4,36.0,5.0,16.203241281778016,-6.159538490319193,0,0
G012.90-00.26,W33A,12.908573475865381,-0.260515343411919,0.396,0.032,-0.36,0.4,-2.22,0.4,37.0,5.0,16.469105901330217,-6.255338563499777,0,0
G013.71-00.08,G013.71-0.08,13.712772905190688,-0.08357249590896319,0.264,0.014,-0.29,0.28,-2.16,0.29,44.0,5.0,4.762158919126712,-5.746552991033553,0,0
G013.87+00.28,G013.87+0.28,13.873851346076345,0.28123456627745236,0.254,0.024,-0.25,2.0,-2.49,2.0,48.0,10.0,7.601732519428099,-8.3582492481641,0,0
G014.33-00.64,G014.33-0.64,14.331809220605823,-0.6449915014717299,0.893,0.101,0.95,1.5,-2.4,1.3,22.0,5.0,11.13272519058999,3.0700112785318936,0,0
G014.63-00.57,G014.63-0.57,14.636659788569817,-0.5759736776586776,0.546,0.022,0.22,1.2,-2.07,1.2,19.0,5.0,2.240632135648428,-3.2063973983219682,0,0
G015.03-00.67,G015.03-0.68,15.034454144972516,-0.6771653895354851,0.499,0.026,0.68,0.53,-1.42,0.54,22.0,3.0,0.40765282921931223,3.7673231322588663,0,0
G016.58-00.05,G016.58-0.05,16.585151904401133,-0.05056506486036847,0.279,0.023,-1.13,0.34,-2.59,0.35,60.0,5.0,21.173048583282597,-8.207522942122807,0,0
G017.55-00.12,IRC-10414,17.55098166476619,-0.12621787857867428,0.497,0.038,-0.04,1.04,-2.01,1.04,44.0,10.0,20.406371464788215,5.030507582569584,0,0
G017.63+00.15,G017.63+0.15,17.638322059105924,0.15648197284194454,0.669,0.019,-0.26,1.41,-1.53,1.41,25.0,10.0,7.46848206502615,3.250867206696114,0,0
G018.34+01.76,G018.34+1.76,18.34134321996305,1.7681359375571692,0.5,0.019,-0.32,0.53,-1.99,0.76,28.0,3.0,5.274743287170022,-1.9332397074763321,0,0
G018.87+00.05,G018.87+0.05,18.873712001325543,0.05329127411267487,0.297,0.049,-0.17,0.32,-1.9,0.37,39.0,3.0,-7.223045187920853,-1.5370048463468606,0,0
G023.00-00.41,G023.00-0.41,23.009732531257157,-0.4106074690445545,0.205,0.015,-1.72,0.22,-4.12,0.37,79.0,5.0,15.404659852859355,-17.531288290307998,0,0
G023.20-00.37,G023.20-0.37,23.206426993566257,-0.37766312675142266,0.239,0.034,-1.45,0.5,-3.4,0.51,82.0,10.0,20.39350613547104,-1.9134938319585046,0,0
G023.38+00.18,G023.38+0.18,23.38904771260075,0.18538132690356354,0.208,0.025,-1.57,0.23,-3.92,0.26,75.0,3.0,9.12262145206161,-16.297365024029915,0,0
G023.65-00.12,G023.65-0.12,23.656704649214,-0.1273173102429206,0.313,0.039,-1.32,0.2,-2.96,0.2,81.0,3.0,33.20050095507295,7.9972358014314295,0,1
G024.63-00.32,G024.63-0.32,24.634014733998125,-0.3236682101479086,0.242,0.045,-0.31,0.27,-2.73,0.3,43.0,5.0,-25.04376392808893,-12.605876330198328,0,1
G028.14-00.00,G028.14-0.00,28.146736114864105,-0.004448489059502129,0.158,0.023,-2.11,0.17,-4.85,0.17,100.0,5.0,-6.758568253494358,-6.175516045875753,1,0
G028.30-00.38,G028.30-0.38,28.30461376453355,-0.3875637898243574,0.221,0.022,-1.62,0.23,-3.97,0.23,87.0,5.0,12.167446818605212,-0.054401430961917185,0,0
G028.39+00.08,G028.39-0.08,28.39696032379618,0.0803015348553419,0.231,0.015,-1.4,0.24,-3.26,0.24,75.0,5.0,-2.7392966977843614,0.2529780220740463,0,0
G028.83-00.25,G028.83-0.25,28.832263978205695,-0.2527226235153818,0.2,0.04,-1.89,0.22,-4.53,0.22,87.0,5.0,11.836842245265547,-8.720165081794306,0,0
G028.86+00.06,G028.86+0.07,28.86189583762602,0.06568572107888841,0.201,0.019,-3.19,0.42,-5.72,0.48,100.0,10.0,52.7218432013389,-16.105527242873052,0,1
G029.95-00.01,W43S,29.95535735860859,-0.01609362155956864,0.207,0.019,-2.36,0.2,-5.38,0.2,99.0,5.0,38.3926777876511,-6.412497842055046,0,1
G030.70-00.06,G030.70-0.06,30.702612637379612,-0.06826033982916073,0.153,0.02,-2.33,0.18,-4.95,0.18,89.0,3.0,-13.227331468363433,-15.38156359875893,0,0
G030.74-00.04,G030.74-0.04,30.74870960107436,-0.048962552178467726,0.326,0.055,-2.38,0.38,-4.46,0.38,88.0,3.0,45.07251989362447,5.188424322480017,0,1
G030.97-00.14,G030.97-0.14,30.972373449134494,-0.14170442807291,0.294,0.022,-2.14,0.31,-3.82,0.34,77.0,3.0,24.61450473307422,1.6909059651673033,0,1
G031.24-00.11,G031.24-0.11,31.242956031992385,-0.11083787919714606,0.076,0.014,-2.8,0.19,-5.54,0.19,24.0,10.0,-16.457268488078228,-7.310864332899143,0,0
G031.28+00.06,W43M,31.280793161088436,0.06163046197692942,0.184,0.017,-1.99,0.19,-4.58,0.22,110.0,5.0,6.3922578053905115,13.760460461858713,0,0
G031.41+00.30,G031.41+0.30,31.411680178447348,0.3069107392290935,0.267,0.029,-1.58,0.7,-5.82,0.7,97.0,15.0,51.42051760208952,-0.5479738775029261,0,0
G031.58+00.07,W43M,31.580940884016176,0.07833223058323738,0.183,0.032,-1.97,0.4,-4.43,0.4,96.0,5.0,-3.3389051184922027,2.183369924092375,0,0
G032.04+00.05,G032.04+0.05,32.044751441002475,0.05901306308858758,0.198,0.015,-2.05,0.21,-4.77,0.21,98.0,5.0,14.482765802965638,3.520573953053912,0,0
G033.09-00.07,G033.09-0.07,33.09233817699092,-0.07292822935478745,0.134,0.016,-2.46,0.15,-5.32,0.15,100.0,5.0,-25.18983379416281,-3.875987771353749,0,1
G033.64-00.22,G033.64-0.22,33.641353299674236,-0.22774335942656015,0.131,0.02,-3.1,0.15,-6.27,0.14,60.0,3.0,18.222731764916183,-35.20941537620334,0,1
G034.41+00.23,G034.41+0.23,34.411347255476784,0.23484880798495683,0.34,0.011,0.12,0.72,-4.18,0.72,60.0,10.0,8.044197283986383,3.690915273461883,0,0
G034.79-01.38,G034.79-1.38,34.79129841043613,-1.386534296931711,0.381,0.02,-0.31,0.62,-2.8,0.72,45.0,5.0,-6.698432725776544,3.877949035858393,0,0
G035.02+00.34,G035.02+0.34,35.02473625223476,0.3496880117017388,0.43,0.04,-0.92,0.9,-3.61,0.9,52.0,5.0,11.710742564600007,4.09677883694556,0,0
G035.19-00.74,G035.20-0.74,35.19702269335042,-0.7432143222481172,0.456,0.045,-0.18,0.5,-3.63,0.5,30.0,7.0,-4.169974892866913,-8.169829444653743,0,0
G035.20-01.73,G035.20-1.73,35.20026749469471,-1.7365020254432326,0.412,0.014,-0.68,0.44,-3.6,0.44,43.0,5.0,2.8499257237452364,-2.595422618426312,0,0
G035.79-00.17,G035.79-0.17,35.79270976116863,-0.17467486124400444,0.113,0.013,-2.96,0.12,-6.23,0.14,61.0,5.0,3.1194488732157892,-16.668417552042598,0,0
G037.42+01.51,G037.43+1.52,37.42959860980132,1.5171744279328931,0.532,0.021,-0.45,0.35,-3.69,0.39,41.0,3.0,7.454342988790737,3.325808670603209,0,0
G038.11-00.22,G038.11-0.22,38.11898310051321,-0.2288543184845349,0.242,0.035,-2.79,0.27,-5.25,0.31,76.0,5.0,25.72733066281047,-6.815531288549295,0,0
G040.28-00.21,G040.28-0.21,40.2818472660697,-0.2194082499129248,0.297,0.019,-1.8,0.31,-3.82,0.33,74.0,5.0,6.242960208791076,14.100196876750687,0,0
G040.42+00.70,G040.42+0.70,40.42504894497153,0.7001418836757184,0.078,0.013,-2.95,0.09,-5.48,0.1,10.0,5.0,-1.838041790688991,16.652521639635808,0,1
G041.15-00.20,G041.15-0.20,41.15598508592042,-0.20088804170370891,0.125,0.018,-2.79,0.14,-5.85,0.16,60.0,3.0,-6.275213819152777,-13.972702523749518,0,0
G041.22-00.19,G041.22-0.19,41.226062958855465,-0.1972047771246814,0.113,0.022,-2.82,0.13,-5.89,0.16,59.0,5.0,-10.35638682162488,-5.762262798314964,0,0
G042.03+00.19,G042.03+0.19,42.034420659047015,0.19012662417462636,0.071,0.012,-2.4,0.09,-5.64,0.11,12.0,5.0,-7.851256943652101,50.593762426805284,0,1
G043.03-00.45,G043.03-0.45,43.03800702376548,-0.45294778054078455,0.13,0.019,-3.03,0.15,-6.56,0.2,56.0,5.0,22.537930029118407,-5.9889529207357555,0,0
G043.16+00.01,W49N,43.16640518860843,0.011163502230476451,0.09,0.007,-2.88,0.2,-5.41,0.2,10.0,5.0,-4.341532616878776,-12.72993593330986,0,0
G043.79-00.12,OH43.8-0.1,43.79539199884004,-0.1272371060397677,0.166,0.01,-3.02,0.36,-6.2,0.36,44.0,10.0,21.093372692496313,-31.44723913583502,0,0
G043.89-00.78,G043.89-0.78,43.890437146644295,-0.7844063956407018,0.134,0.013,-3.11,0.15,-5.35,0.21,52.0,3.0,-10.940033971129226,-19.12892970558289,0,0
G045.07+00.13,G045.07+0.13,45.07115896295704,0.13234463759873824,0.129,0.007,-3.21,0.26,-6.11,0.26,59.0,5.0,9.48549082633153,1.3964410074892157,0,0
G045.45+00.06,G045.45+0.05,45.45486514647116,0.05996026424078869,0.119,0.017,-2.34,0.38,-6.0,0.54,55.0,7.0,-10.985310498533378,-0.8323901562261824,0,0
G045.49+00.12,G045.49+0.12,45.49274981854154,0.12557457025306218,0.144,0.024,-2.62,0.17,-5.61,0.16,58.0,3.0,-8.672532580826793,-10.94167698401273,0,0
G045.80-00.35,G045.80-0.35,45.804085794663436,-0.3558613706076123,0.137,0.023,-2.52,0.17,-6.08,0.27,64.0,5.0,-1.0081494080832487,0.7342626740757225,0,0
G046.25-01.47,G046.26-1.48,46.256067740991504,-1.4765490403291515,0.121,0.015,-3.04,0.22,-5.84,0.28,28.0,10.0,7.247508697575467,-21.03045910318579,0,0
G048.60+00.02,G048.61+0.01,48.60614182320978,0.023040405947408762,0.093,0.005,-2.89,0.13,-5.5,0.13,18.0,5.0,-4.955560965647943,13.07377450420617,0,0
G048.99-00.29,G048.99-0.30,48.990016161571475,-0.29892431112746737,0.178,0.017,-2.2,0.48,-5.84,0.63,67.0,10.0,0.4072471338901542,4.40827140913305,0,0
G049.04-01.07,G049.04-1.07,49.042950897434245,-1.0787598378571701,0.164,0.022,-3.23,0.23,-6.42,0.43,38.0,5.0,27.709088218003306,-19.831490114724232,0,0
G049.19-00.33,G049.19-0.34,49.190121363031665,-0.3367997694748615,0.197,0.008,-3.08,0.4,-5.5,0.4,67.0,5.0,8.380322620795468,4.7018242450733965,0,0
G049.26+00.31,G049.26+0.31,49.26516263412598,0.31116841234938347,0.113,0.016,-2.73,0.15,-5.85,0.19,0.0,5.0,14.865943325166237,-27.78389308799848,0,1
G049.34+00.41,G049.34+0.41,49.349203730217596,0.41254508958508773,0.241,0.031,-2.36,0.26,-5.59,0.33,68.0,5.0,11.75454671946507,8.179724641148312,0,0
G049.48-00.38,W51M,49.48845380190986,-0.3880043314490998,0.185,0.01,-2.64,0.2,-5.11,0.2,58.0,4.0,-8.943462585551373,-3.5447825865394123,0,0
G049.59-00.24,G049.59-0.24,49.599361013324554,-0.24953430172254354,0.218,0.009,-2.25,0.24,-6.12,0.25,63.0,5.0,15.32852911504547,1.498636913461354,0,0
G052.10+01.04,G052.10+1.04,52.10051753542083,1.0427643128815773,0.165,0.013,-2.77,1.4,-5.85,1.4,42.0,40.0,5.715259208726999,-9.336011553175354,0,0
G054.10-00.08,G054.10-0.08,54.10986843471903,-0.08126041992041073,0.231,0.031,-3.13,0.58,-5.57,0.61,40.0,5.0,10.488309920606163,-10.487487751309999,0,0
G055.37+00.18,IRAS19312,55.370723747861334,0.18554369847933413,0.263,0.05,-2.61,1.0,-6.73,1.0,36.0,7.0,25.188234196931724,-12.780147748505385,0,0
G056.09+02.09,K3-35,56.09606157555446,2.093703472898855,0.26,0.04,-3.34,0.1,-5.93,0.07,26.0,5.0,17.69715857150454,-20.785416623094875,0,1
G058.77+00.64,G058.77+0.64,58.77478284080131,0.6441243423890506,0.299,0.04,-2.7,0.34,-6.1,0.38,33.0,3.0,15.411968984785444,-6.980994800271901,0,0
G059.47-00.18,G059.47-0.18,59.47786832029194,-0.18574369789614978,0.535,0.024,-1.83,1.22,-6.6,1.21,26.0,3.0,14.603136841692908,-5.445115103800504,0,0
G059.78+00.06,G059.78+0.06,59.78279539322432,0.06462548893528905,0.463,0.02,-1.5,0.53,-5.12,0.51,23.0,5.0,-0.5116265866989689,-6.141422455974805,0,0
G059.83+00.67,G059.83+0.67,59.83284558256524,0.6720377042899001,0.242,0.014,-2.91,0.26,-6.12,0.26,34.0,3.0,16.302961145286798,-3.6650265931479282,0,0
G060.57-00.18,G060.57-0.18,60.575485462035,-0.1866045916230899,0.121,0.015,-3.26,0.15,-5.66,0.15,4.0,5.0,17.547575339444215,13.321840633876377,0,0
G069.54-00.97,ON1,69.54015475880628,-0.9755753368750333,0.406,0.013,-3.19,0.4,-5.22,0.4,12.0,5.0,6.512049495803294,-8.451191814438772,0,0
G070.18+01.74,G070.18+1.74,70.18112987671326,1.7402339351279177,0.156,0.016,-2.82,0.16,-5.17,0.19,-23.0,5.0,11.025417156418003,-15.469644314446953,0,0
G071.31+00.82,IRAS20056+3350,71.31267658176284,0.8288975030782504,0.213,0.028,-2.62,0.7,-5.65,0.6,9.0,5.0,6.32408232409373,1.2144212381724913,0,0
G071.52-00.38,G071.52-0.38,71.52200000846027,-0.3852512949367999,0.277,0.026,-2.48,0.29,-4.97,0.3,11.0,3.0,-4.506217699814227,-5.317019250549009,0,0
G074.03-01.71,G074.04-1.71,74.03418534001557,-1.7140695758068842,0.629,0.017,-3.79,1.3,-4.88,1.5,5.0,5.0,7.626341634573396,-9.112449918408856,0,0
G075.29+01.32,G075.30+1.32,75.29661759400169,1.3238331091670008,0.108,0.01,-2.37,0.11,-4.48,0.17,-58.0,5.0,12.51238213783891,3.8246060533631123,0,0
G075.76+00.33,G075.76+0.34,75.76094109745675,0.3398843021248017,0.285,0.022,-3.08,0.6,-4.56,0.6,-9.0,9.0,-0.051922674108569974,-17.768132014958184,0,0
G075.78+00.34,ON2N,75.78202617063077,0.34272075498874843,0.261,0.03,-2.79,0.55,-4.66,0.55,1.0,5.0,-4.128031924899244,-6.48112162151304,0,0
G076.38-00.61,G076.38-0.62,76.38087891296179,-0.6177468789150884,0.77,0.053,-3.73,3.0,-3.84,3.0,-2.0,5.0,2.086486475708134,-13.386232241722155,0,0
G078.88+00.70,AFGL2591,78.88664662758207,0.7089349067223036,0.3,0.024,-1.2,0.72,-4.8,0.66,-6.0,7.0,-13.25336655987584,-12.924978815126678,0,0
G079.73+00.99,IRAS20290+4052,79.73570334687959,0.9904481658389029,0.737,0.062,-2.84,0.79,-4.14,1.06,-3.0,5.0,1.2392461331077107,-12.25955830677728,0,0
G079.87+01.17,G079.88+1.18,79.8768617101513,1.1769480518565139,0.62,0.027,-3.23,1.3,-5.19,1.3,-5.0,10.0,8.499471514936166,-13.886455908499755,0,0
G080.79-01.92,NMLCyg,80.798358751203,-1.920998401854138,0.62,0.047,-1.55,0.57,-4.59,0.57,-3.0,3.0,-3.018093803144017,-11.479690376213881,0,0
G080.86+00.38,DR20,80.86148060638196,0.38329864890127646,0.687,0.038,-3.29,0.73,-4.83,0.77,-3.0,5.0,6.85434609203085,-11.207283731298645,0,0
G081.75+00.59,DR21A,81.75231069833808,0.5907472014271133,0.666,0.035,-2.84,0.45,-3.8,0.47,-3.0,3.0,-0.6290972822450475,-10.68022389006694,0,0
G081.87+00.78,W75N,81.87126092276698,0.7806425959270948,0.772,0.042,-1.97,0.5,-4.16,0.51,7.0,3.0,-1.1125245172797746,-0.7094380744730415,0,0
G090.21+02.32,G090.21+2.32,90.21041884652509,2.3243263294043786,1.483,0.038,-0.67,1.56,-0.9,1.67,-3.0,5.0,-4.79165285671943,-8.069692691505935,0,0
G090.92+01.48,G090.92+1.48,90.92149156847277,1.4866391508876282,0.171,0.031,-2.96,0.2,-2.61,0.28,-70.0,5.0,4.074469226162597,-30.781230298427573,0,1
G092.67+03.07,G092.69+3.08,92.67110261250686,3.0711369069780137,0.613,0.02,-0.69,1.42,-2.25,1.42,-5.0,10.0,-17.009014655869937,-7.528162226991981,0,0
