gname,peak_pdf,peak_hpd,error
G017.63+00.15,1.4923647173861223,1.4895775775775777,0.002787139808544614
G018.34+01.76,1.9942571232321464,1.9827447447447448,0.011512378487401609
G018.87+00.05,3.2013044523738157,3.2270790790790786,-0.025774626705262982
G023.00-00.41,4.826904616203565,4.851500500500501,-0.02459588429693582
G023.20-00.37,4.027209309344055,3.996716716716717,0.0304925926273385
G023.38+00.18,4.676276662134478,4.652645645645645,0.02363101648883248
G023.65-00.12,3.1014053318569483,3.1163043043043044,-0.014898972447356051
G024.63-00.32,3.880254837606187,3.9253243243243237,-0.04506948671813671
G028.14-00.00,6.0814604871350175,6.190674674674674,-0.1092141875396564
G028.30-00.38,4.438594196162063,4.434049049049049,0.00454514711301357
G028.39+00.08,4.293100347331096,4.247775775775777,0.04532457155531944
G028.83-00.25,4.653516540862677,4.745896896896896,-0.09238035603421935
G028.86+00.06,4.889257253980947,4.9396576576576585,-0.05040040367671139
G029.95-00.01,4.752150349816791,4.708583583583584,0.04356676623320688
G030.70-00.06,6.326658274890266,6.400115115115115,-0.073456840224849
G030.74-00.04,2.910298978877168,2.9005345345345344,0.00976444434263346
G030.97-00.14,3.364098604359131,3.322970970970971,0.041127633388160056
G031.24-00.11,12.368802477696674,12.374555555555556,-0.0057530778588823495
G031.28+00.06,5.345037351946923,5.320844844844845,0.024192507102077876
G031.41+00.30,3.6608900414373724,3.660117117117117,0.0007729243202554414
G031.58+00.07,5.165832901861878,5.17454954954955,-0.008716647687672108
G032.04+00.05,4.993827075816055,4.989513513513514,0.004313562302541207
G033.09-00.07,7.261228189352708,7.230531531531532,0.030696657821176032
G033.64-00.22,7.307484967621312,7.282318318318318,0.02516664930299317
G034.41+00.23,2.935044981328697,2.9444704704704705,-0.009425489141773546
G034.79-01.38,2.610364300719195,2.6156246246246244,-0.005260323905429409
G035.02+00.34,2.2866689856740976,2.2704284284284286,0.016240557245668974
G035.19-00.74,2.1518564283818136,2.158183183183183,-0.006326754801369461
G035.20-01.73,2.421604963894089,2.421516516516516,8.844737757307541e-05
G035.79-00.17,8.62694367164226,8.778109109109112,-0.15116543746685096
G037.42+01.51,1.8738776873834764,1.8705735735735736,0.003304113809902809
G038.11-00.22,3.972469966124711,3.9099229229229238,0.06254704320178739
G040.28-00.21,3.3398862140595647,3.35093993993994,-0.011053725880375342
G040.42+00.70,12.17787655213078,11.946014014014015,0.23186253811676494
G041.15-00.20,7.693184504721962,7.713177177177178,-0.019992672455216187
G041.22-00.19,8.264462809917356,8.198456456456457,0.06600635346089945
G042.03+00.19,13.360444691314047,13.319945945945944,0.04049874536810272
G043.03-00.45,7.389076308064744,7.3729439439439455,0.016132364120798215
G043.16+00.01,10.979838102378537,10.894626626626623,0.08521147575191357
G043.79-00.12,5.980997195835435,5.991243243243242,-0.01024604740780699
G043.89-00.78,7.327262635286973,7.320831831831832,0.006430803455141465
G045.07+00.13,7.706816189562681,7.65921021021021,0.04760597935247102
G045.45+00.06,8.085800518687497,8.115243243243244,-0.02944272455574648
G045.49+00.12,6.596349799070839,6.694710710710711,-0.09836091163987248
G045.80-00.35,6.928547139679995,6.882600600600599,0.045946539079396054
G046.25-01.47,8.024958811825048,8.098492492492491,-0.07353368066744359
G048.60+00.02,10.69123520951326,10.665863863863862,0.02537134564939869
G048.99-00.29,5.519067736965974,5.540042042042042,-0.020974305076068234
G049.04-01.07,5.892611360664043,5.880864864864867,0.011746495799176415
G049.19-00.33,5.059509515347305,5.061151151151153,-0.0016416358038480183
G049.26+00.31,8.520605589050199,8.56648048048048,-0.045874891430282005
G049.34+00.41,4.020466794450513,3.975568568568568,0.04489822588194503
G049.48-00.38,5.374181805322562,5.398657657657658,-0.024475852335096526
G049.59-00.24,4.571624952921816,4.594138138138137,-0.022513185216321396
